PatentNumber,CitedByOthers,CitesOthers,TotalDegree,GlobalEfficiency,SubgraphEfficiency,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,ComponentSize,Connectivity
US11066650-B2,0,27,27,0.08878312921716694,0.3528453159041394,0.0,0,0.039886039886039885,51,0.4951
US10174289-B2,2,14,16,0.08878312921716694,0.3528453159041394,0.0,0,0.23333333333333334,51,0.4951
US11053477-B2,0,27,27,0.08878312921716694,0.3528453159041394,0.0,0,0.039886039886039885,51,0.4951
WO2018050862-A1,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
CN111386335-A,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
CN110381967-A,0,2,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
US11725184-B2,0,4,4,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
US7255879-B2,1,0,1,0.08878312921716694,0.8333333333333334,0.0,0,0.0,3,0.0291
US7468276-B2,0,2,2,0.08878312921716694,0.8333333333333334,0.0,0,0.0,3,0.0291
US10597633-B2,1,1,2,0.08878312921716694,0.3528453159041394,9.706853038245001e-05,0,0.0,51,0.4951
CN105378062-A,1,0,1,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
CN105026552-A,2,0,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
US10006904-B2,0,1,1,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
CN110691845-A,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
CN106661548-A,1,0,1,0.08878312921716694,1.0,0.0,0,0.0,2,0.0194
EP2393917-A2,2,0,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
EP2393917-B1,3,0,3,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
CN111565798-A,0,1,1,0.08878312921716694,1.0,0.0,0,0.0,2,0.0194
WO2018091677-A1,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
CN110249044-A,0,1,1,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
CN105358677-A,3,0,3,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
US10041046-B2,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
US10041047-B2,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
CN108865972-A,1,0,1,0.08878312921716694,0.8333333333333334,0.0,0,0.0,3,0.0291
US9765301-B2,4,1,5,0.08878312921716694,0.3528453159041394,0.00038827412152980003,0,0.2,51,0.4951
GB2564582-B,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
US10472612-B2,2,0,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
CN109996870-A,0,1,1,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
CN110494555-A,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
CN110662832-A,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
WO2018197544-A1,2,0,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
US10513691-B2,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
US7695958-B2,2,0,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
US8298822-B2,3,0,3,0.08878312921716694,0.3528453159041394,0.0,0,0.6666666666666666,51,0.4951
US8603809-B2,3,0,3,0.08878312921716694,0.3528453159041394,0.0,0,0.6666666666666666,51,0.4951
US9127254-B2,3,0,3,0.08878312921716694,0.3528453159041394,0.0,0,0.6666666666666666,51,0.4951
US9375514-B2,3,0,3,0.08878312921716694,0.3528453159041394,0.0,0,0.6666666666666666,51,0.4951
US9771562-B2,3,1,4,0.08878312921716694,0.3528453159041394,0.00029120559114735004,0,0.3333333333333333,51,0.4951
US9856458-B2,3,1,4,0.08878312921716694,0.3528453159041394,0.00029120559114735004,0,0.3333333333333333,51,0.4951
US9914920-B2,3,0,3,0.08878312921716694,0.3528453159041394,0.0,0,0.6666666666666666,51,0.4951
US10087416-B2,2,0,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
US10179176-B2,2,0,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
US10222370-B2,2,0,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
US10369254-B2,2,0,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
US10426757-B2,2,0,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
US10532111-B2,2,0,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
US10545133-B2,2,0,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
WO2013127921-A1,3,0,3,0.08878312921716694,0.3528453159041394,0.0,0,0.6666666666666666,51,0.4951
WO2013155060-A1,3,0,3,0.08878312921716694,0.3528453159041394,0.0,0,0.6666666666666666,51,0.4951
WO2014053596-A1,3,0,3,0.08878312921716694,0.3528453159041394,0.0,0,0.6666666666666666,51,0.4951
CN106574242-A,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
CN109844098-A,0,1,1,0.08878312921716694,0.8333333333333334,0.0,0,0.0,3,0.0291
CN108779437-A,1,1,2,0.08878312921716694,0.8333333333333334,9.706853038245001e-05,0,0.0,3,0.0291
US11390852-B2,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
WO2016085765-A1,3,0,3,0.08878312921716694,0.3528453159041394,0.0,0,0.6666666666666666,51,0.4951
WO2016168950-A1,3,0,3,0.08878312921716694,0.3528453159041394,0.0,0,0.6666666666666666,51,0.4951
CN110809625-A,0,2,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
WO2019174879-A1,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
US11096388-B2,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
WO2003082201-A2,3,0,3,0.08878312921716694,0.3528453159041394,0.0,0,0.6666666666666666,51,0.4951
WO2012014076-A3,1,0,1,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
CN103237888-A,4,0,4,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
WO2012168930-A3,1,0,1,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
CN104024401-A,3,0,3,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
EP3318627-A1,1,0,1,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
CN109136163-A,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
CN107427537-A,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
CN109415680-A,0,5,5,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
WO2009146911-A3,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
CN109477070-A,0,1,1,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
CN109661460-A,0,2,2,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
CN103502426-A,1,0,1,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
CN109844097-A,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
CN102257124-A,1,0,1,0.08878312921716694,0.8333333333333334,0.0,0,0.0,3,0.0291
CN104685048-A,1,1,2,0.08878312921716694,0.8333333333333334,9.706853038245001e-05,0,0.0,3,0.0291
US11434524-B2,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
EP3441458-A1,1,0,1,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
CN109072179-A,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
US10597623-B2,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
CN109152864-A,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
US9986733-B2,1,0,1,0.08878312921716694,1.0,0.0,0,0.0,2,0.0194
US10694739-B2,0,1,1,0.08878312921716694,1.0,0.0,0,0.0,2,0.0194
US5605835-A,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
CN106536707-A,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
WO2005097974-A3,1,0,1,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
CN105473706-A,1,0,1,0.08878312921716694,1.0,0.0,0,0.0,2,0.0194
EP2542663-B1,1,0,1,0.08878312921716694,0.3528453159041394,0.0,0,0.0,51,0.4951
US7311904-B2,1,0,1,0.08878312921716694,0.8333333333333334,0.0,0,0.0,3,0.0291
US8992991-B2,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
US9717694-B2,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
US8100129-B2,0,1,1,0.08878312921716694,0.8333333333333334,0.0,0,0.0,4,0.0388
US7842035-B2,0,2,2,0.08878312921716694,0.8333333333333334,0.0,0,1.0,4,0.0388
US6309384-B1,3,0,3,0.08878312921716694,0.8333333333333334,0.0,0,0.3333333333333333,4,0.0388
US6712810-B2,1,1,2,0.08878312921716694,0.8333333333333334,0.0,0,1.0,4,0.0388
EP1636347-A1,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
US6414036-B1,1,0,1,0.08878312921716694,1.0,0.0,0,0.0,2,0.0194
US6649660-B2,0,1,1,0.08878312921716694,1.0,0.0,0,0.0,2,0.0194
US5595909-A,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
WO2022134294-A1,0,1,1,0.08878312921716694,0.8333333333333334,0.0,0,0.0,3,0.0291
WO2020231833-A1,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
CN111433351-A,0,1,1,0.08878312921716694,1.0,0.0,0,0.0,2,0.0194
US10996454-B2,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
WO2020142563-A1,0,0,0,0.08878312921716694,0.0,0.0,0,0.0,1,0.0097
